Filename, Package, Minor, Major, Total, Ownership, #Bugs
PostingsHighlighter.java,org.apache.lucene.search.postingshighlight,0,3,3,0.60,4
FieldAnalysisResponseTest.java,org.apache.solr.client.solrj.response,0,1,1,1.00,0
Analyzer.java,org.apache.lucene.analysis,0,3,3,0.40,0
LengthFilterFactory.java,org.apache.lucene.analysis.miscellaneous,0,2,2,0.67,0
PeerSync.java,org.apache.solr.update,0,4,4,0.50,1
TestAlternateCasing.java,org.apache.lucene.analysis.hunspell,0,1,1,1.00,0
TestShortCircuitedRequests.java,org.apache.solr.cloud,0,3,3,0.33,0
ArabicNormalizationFilter.java,org.apache.lucene.analysis.ar,0,0,0,0.00,0
TestIndonesianAnalyzer.java,org.apache.lucene.analysis.id,0,2,2,0.67,0
WikipediaTokenizer.java,org.apache.lucene.analysis.wikipedia,0,2,2,0.67,0
TestHTMLStripCharFilterFactory.java,org.apache.lucene.analysis.charfilter,0,1,1,1.00,0
AfterEffectL.java,org.apache.lucene.search.similarities,0,0,0,0.00,1
TestHyphenationCompoundWordTokenFilterFactory.java,org.apache.lucene.analysis.compound,0,2,2,0.50,0
StatePair.java,org.apache.lucene.util.automaton,0,1,1,1.00,0
IndonesianStemFilter.java,org.apache.lucene.analysis.id,0,0,0,0.00,0
TestSurroundQueryParser.java,org.apache.solr.search,0,0,0,0.00,0
FilterFileChannel.java,org.apache.lucene.mockfile,0,1,1,1.00,0
PHPSerializedResponseWriter.java,org.apache.solr.response,0,2,2,0.50,0
TestIndonesianStemmer.java,org.apache.lucene.analysis.id,0,1,1,1.00,0
CapitalizationFilterFactory.java,org.apache.lucene.analysis.miscellaneous,0,3,3,0.67,0
FloatField.java,org.apache.lucene.document,0,3,3,0.60,0
TestSpanishLightStemFilter.java,org.apache.lucene.analysis.es,0,1,1,1.00,0
SerbianNormalizationFilter.java,org.apache.lucene.analysis.sr,0,1,1,1.00,0
NorwegianLightStemFilterFactory.java,org.apache.lucene.analysis.no,0,0,0,0.00,0
DateMathFunction.java,org.apache.solr.analytics.util.valuesource,0,1,1,1.00,0
ZKPropertiesWriter.java,org.apache.solr.handler.dataimport,0,2,2,0.67,0
DocTransformers.java,org.apache.solr.response.transform,0,1,1,1.00,0
CombineSuggestion.java,org.apache.lucene.search.spell,0,0,0,0.00,0
CrankyStoredFieldsFormat.java,org.apache.lucene.codecs.cranky,0,1,1,1.00,0
BufferedChecksum.java,org.apache.lucene.store,0,1,1,1.00,0
FailureMarker.java,org.apache.lucene.util,0,1,1,1.00,0
TestVarGapFixedIntervalPostingsFormat.java,org.apache.lucene.codecs.blockterms,0,2,2,0.50,0
ConvertedLegacyTest.java,org.apache.solr,0,2,2,0.50,0
AEProviderFactoryTest.java,org.apache.lucene.analysis.uima.ae,0,0,0,0.00,0
Field.java,org.apache.solr.handler.dataimport.config,0,1,1,1.00,0
TieredMergePolicy.java,org.apache.lucene.index,0,5,5,0.44,0
OpenRangeQueryNodeProcessor.java,org.apache.lucene.queryparser.flexible.standard.processors,0,0,0,0.00,0
PairOutputs.java,org.apache.lucene.util.fst,0,3,3,0.71,0
HdfsDirectory.java,org.apache.solr.store.hdfs,0,4,4,0.30,2
NorwegianLightStemmer.java,org.apache.lucene.analysis.no,0,0,0,0.00,0
TestLucene50SegmentInfoFormat.java,org.apache.lucene.codecs.lucene50,0,1,1,1.00,0
TestGermanLightStemFilter.java,org.apache.lucene.analysis.de,0,2,2,0.80,0
KeywordTokenizerFactory.java,org.apache.lucene.analysis.core,0,3,3,0.60,0
UserInputQueryBuilder.java,org.apache.lucene.queryparser.xml.builders,0,2,2,0.67,0
TestIntroSorter.java,org.apache.lucene.util,0,1,1,1.00,0
CharacterDefinition.java,org.apache.lucene.analysis.ja.dict,0,1,1,1.00,0
ArrayUtil.java,org.apache.lucene.util,0,2,2,0.67,0
WhitespaceTokenizerFactory.java,org.apache.lucene.analysis.core,0,3,3,0.60,0
JakartaRegexpCapabilities.java,org.apache.lucene.sandbox.queries.regex,0,1,1,1.00,0
MigrateRouteKeyTest.java,org.apache.solr.cloud,0,6,6,0.22,1
ClassicIndexSchemaFactory.java,org.apache.solr.schema,0,0,0,0.00,0
FieldFacetRequest.java,org.apache.solr.analytics.request,0,1,1,1.00,0
RussianLightStemFilterFactory.java,org.apache.lucene.analysis.ru,0,0,0,0.00,0
