Count of ID,Column Labels,,,,,,,,,,,,,,,,,,,,,,"""N"" Patchsets",,,,,,,
Row Labels,0,1,2,3,4,5,>5,Grand Total,,,Row Labels,0,1,2,3,4,5,>5,Grand Total,,,,0,1,2,3,4,5,>5,Total
0,,4342,1903,967,525,282,543,8562,,,0,,4342,1903,967,525,282,543,8562,,"""Y"" Patchsets",0,,35.81%,15.69%,7.97%,4.33%,2.33%,4.48%,70.61%
1,163,585,483,328,221,171,323,2274,,,1,163,585,483,328,221,171,323,2274,,,1,1.34%,4.82%,3.98%,2.70%,1.82%,1.41%,2.66%,18.75%
2,23,109,143,108,91,72,208,754,,,2,23,109,143,108,91,72,208,754,,,2,0.19%,0.90%,1.18%,0.89%,0.75%,0.59%,1.72%,6.22%
3,5,24,25,40,33,32,130,289,,,3,5,24,25,40,33,32,130,289,,,3,0.04%,0.20%,0.21%,0.33%,0.27%,0.26%,1.07%,2.38%
4,,5,9,15,21,9,70,129,,,4,,5,9,15,21,9,70,129,,,4,,0.04%,0.07%,0.12%,0.17%,0.07%,0.58%,1.06%
5,,2,3,3,4,6,34,52,,,5,,2,3,3,4,6,34,52,,,5,,0.02%,0.02%,0.02%,0.03%,0.05%,0.28%,0.43%
>5,,4,2,5,2,11,42,66,,,>5,,4,2,5,2,11,42,66,,,>5,,0.03%,0.02%,0.04%,0.02%,0.09%,0.35%,0.54%
Grand Total,191,5071,2568,1466,897,583,1350,12126,,,Grand Total,191,5071,2568,1466,897,583,1350,12126,,,Total,1.58%,41.82%,21.18%,12.09%,7.40%,4.81%,11.13%,100.00%
