ID|BRANCH|PROJECT|queue_r1|queue_r2|queue_r3|queue_r4|queue_r5|queue_r6|queue_r7|queue_r8
I01564734a915bb4334cfc3eb8ad363aabbbcdd93|feature/crypto|openstack/swift|10|\N|\N|\N|\N|\N|\N|\N
I015c60cb9052f942ea88b911d707dfedb39bc4be|master|openstack/nova|27|99|\N|\N|\N|\N|\N|\N
I0162c2d7991b1040cce6fb24a057a09268d623a9|master|openstack/nova|92|\N|\N|\N|\N|\N|\N|\N
I0168af34364343246a2855bdbd4a9f5ed5b05438|master|openstack/cinder|49|\N|\N|\N|\N|\N|\N|\N
I016e22c857f520a7eb79e1ed5b36735a97f68b68|master|openstack/cinder|16|33|44|\N|\N|\N|\N|\N
I017194e7314458a493ccc942bef34209a902809e|master|openstack/nova|28|24|\N|\N|\N|\N|\N|\N
I01732d5bb3d03c5256bf80d44e877b187f22679e|master|openstack/nova|14|36|\N|\N|\N|\N|\N|\N
I0173d397760bc17c01af792b4c4cc2bcbf45fedd|master|openstack/cinder|26|35|\N|\N|\N|\N|\N|\N
I0174398c492fdd5e53672dd0f654f220583b75d4|master|openstack/glance|1|0|\N|\N|\N|\N|\N|\N
I0176f498db89a3a10c2474e4ae5c4b0929c65ece|master|openstack/cinder|9|21|\N|\N|\N|\N|\N|\N
I017a6dd334e2673072c977cc13b73e8cceb16712|master|openstack/neutron|8|2|\N|\N|\N|\N|\N|\N
I017b0584972ca8832f3b160bbcdff335ae9a1aa6|master|openstack/swift|2|2|\N|\N|\N|\N|\N|\N
I017bf749f426717dc76cf99a387102848fb1c541|master|openstack/nova|23|4|\N|\N|\N|\N|\N|\N
I017c14e4d1229951e389a9e8d48384b54e197dd3|master|openstack/keystone|33|1|\N|\N|\N|\N|\N|\N
I018232c03f5df2237a11b48ac877793d1cb5c1bf|master|openstack/neutron|21|\N|\N|\N|\N|\N|\N|\N
I018c3a408a8903be8d006760994de6947fb91168|master|openstack/nova|13|\N|\N|\N|\N|\N|\N|\N
I018e800bc8d4e85d067aaae865c9b04bf030c980|stable/liberty|openstack/neutron|25|2|\N|\N|\N|\N|\N|\N
I018e800bc8d4e85d067aaae865c9b04bf030c980|stable/kilo|openstack/neutron|3|15|\N|\N|\N|\N|\N|\N
I018e800bc8d4e85d067aaae865c9b04bf030c980|master|openstack/neutron|10|6|\N|\N|\N|\N|\N|\N
I0192ccef7e858fd0ff15c339f683abaabbdc09b7|master|openstack/nova|65|100|\N|\N|\N|\N|\N|\N
I019a5d96442802d89e9a152c0adf6030daab1a61|master|openstack/nova|50|35|\N|\N|\N|\N|\N|\N
I019a5d96442802d89e9a152c0adf6030daab1a61|stable/kilo|openstack/nova|31|0|\N|\N|\N|\N|\N|\N
I01a2070691035126b8d92be6e810ac3339347b75|master|openstack/nova|72|65|\N|\N|\N|\N|\N|\N
I01a9e2f193b50285966690efd771da432a7ad40c|master|openstack/nova|3|86|\N|\N|\N|\N|\N|\N
I01aa967f524f80a2dfadee328cdbf55d0b96466b|master|openstack/nova|24|87|\N|\N|\N|\N|\N|\N
I01af6d70539e518936c74e425c3fad60f4b94581|master|openstack/cinder|6|4|\N|\N|\N|\N|\N|\N
I01b561ac8b9b29cc4721d88567678a42a4fd1f6b|master|openstack/nova|14|9|\N|\N|\N|\N|\N|\N
I01cadf26262b20f1ad5a19e4441b42a0155f5a52|master|openstack/nova|123|37|\N|\N|\N|\N|\N|\N
I01cbd17f710fca4e3dda38f2827073541524ac56|master|openstack/nova|38|31|\N|\N|\N|\N|\N|\N
I01ce30c25e7239e68cc7c70038f4f880218cb66a|master|openstack/cinder|5|6|10|10|\N|\N|\N|\N
I01d313438f021cd2fe0d6f5c23f2029279d4b55a|stable/juno|openstack/cinder|25|25|\N|\N|\N|\N|\N|\N
I01d7667ddb9f7698efcf412a40f76809852cfaa1|master|openstack/cinder|12|37|\N|\N|\N|\N|\N|\N
I01df2096ced51eb9ebfd994cf8397f2fa094f6e3|master|openstack/nova|3|4|\N|\N|\N|\N|\N|\N
I01e322e6f3567f42d08e2db952be4d58ee43b4b5|master|openstack/keystone|6|13|\N|\N|\N|\N|\N|\N
I01e322e6f3567f42d08e2db952be4d58ee43b4b5|stable/liberty|openstack/keystone|7|18|\N|\N|\N|\N|\N|\N
I01e35c286802c937eb84e104daa64325d0a841c9|master|openstack/keystone|2|2|\N|\N|\N|\N|\N|\N
I01e6ba9c9d8df8690d2cecea2cc48e45cf7a53c4|master|openstack/nova|25|\N|\N|\N|\N|\N|\N|\N
I01ed3773af8ee09fd57690afe4c51fdc23e71e2c|master|openstack/nova|42|43|\N|\N|\N|\N|\N|\N
I01fbfa310df3c74390f8e8c2e9ffff81bbf05e47|master|openstack/swift|12|4|\N|\N|\N|\N|\N|\N
I0206e42064287a9c1b5d6f3f265e53baea7d4043|master|openstack/neutron|8|13|\N|\N|\N|\N|\N|\N
I0217ac10d20c51a9c17bed566f326eb6db6ed949|master|openstack/keystone|3|27|\N|\N|\N|\N|\N|\N
I0219e17d2ec70939039344826d35cb533b3ce065|master|openstack/neutron|26|4|\N|\N|\N|\N|\N|\N
I021e2021c128da4db2f53a9973658a92a937bfbf|master|openstack/nova|26|\N|\N|\N|\N|\N|\N|\N
I021e94e322f9b5eca665ea3aede41e034d3047cc|master|openstack/neutron|23|25|28|\N|\N|\N|\N|\N
I023187f62916a4a1bf707a9041820e834c3a83d9|master|openstack/cinder|33|11|\N|\N|\N|\N|\N|\N
I0233bab571aee3c034f067e6c28e6b38dc017db9|master|openstack/cinder|41|18|\N|\N|\N|\N|\N|\N
I0233f964d8f294f0ffd9edcb16b1aaf93486177f|master|openstack/nova|36|20|\N|\N|\N|\N|\N|\N
I023487445b21891e9488a5f6eef9f89f9cecade0|master|openstack/nova|55|\N|\N|\N|\N|\N|\N|\N
I02361e279bb0229fd41e99a36198f2982b8635c2|master|openstack/keystone|13|15|\N|\N|\N|\N|\N|\N
I023fb780848b6dd515ccc5e38535dc848fbc6601|master|openstack/nova|30|47|\N|\N|\N|\N|\N|\N
I0246421083ae59e2684c10f1d6137ce8ef284f02|master|openstack/keystone|4|4|\N|\N|\N|\N|\N|\N
I024d97038f6e027bd5f154d2933438847962fcb4|master|openstack/cinder|12|29|41|\N|\N|\N|\N|\N
I024fc2db9022809194178c227d994bc6ed33c78b|master|openstack/neutron|7|16|\N|\N|\N|\N|\N|\N
I0250fda7269bbd79839bf6e7c141f196adc1bd3b|master|openstack/neutron|5|11|\N|\N|\N|\N|\N|\N
I025bbb66d5446c76d89ef086dcd12a2a454b0e31|master|openstack/nova|2|17|\N|\N|\N|\N|\N|\N
I025c9a9e89a57bcff0a72cc1e584c3114671b3b3|master|openstack/keystone|11|7|\N|\N|\N|\N|\N|\N
I0263bec06118edcbb0038b5ba319365f8e837508|master|openstack/cinder|10|41|\N|\N|\N|\N|\N|\N
I026ce2e524a3fe61256c552c89a2efb90cdde9b6|master|openstack/nova|61|94|\N|\N|\N|\N|\N|\N
I026ec18e59703a928c3e8a5a4d19490861d31b2a|stable/kilo|openstack/neutron|18|\N|\N|\N|\N|\N|\N|\N
I026f2014ede800c0f4532ca15f1fccdaa59d5b61|master|openstack/neutron|20|6|\N|\N|\N|\N|\N|\N
I0271f99b7e39f690619f10aabbad37380ecb5d5e|master|openstack/nova|37|\N|\N|\N|\N|\N|\N|\N
I0277ab537ff9d3a664c03ea291b9ec2b0e784dbb|stable/liberty|openstack/neutron|9|7|\N|\N|\N|\N|\N|\N
I0277ab537ff9d3a664c03ea291b9ec2b0e784dbb|master|openstack/neutron|7|4|\N|\N|\N|\N|\N|\N
I0280b71203d99829796244afbd9a8f308b7e910a|master|openstack/cinder|24|8|\N|\N|\N|\N|\N|\N
I0289a4d38e0d30d39c67e29bf77b0a89d1dd23f6|master|openstack/keystone|0|16|\N|\N|\N|\N|\N|\N
I028aee93c92d5fafb4da018925d20db18c962eed|master|openstack/cinder|25|9|\N|\N|\N|\N|\N|\N
I028ea8c1928e8c9a401db31fb266ff82606f8371|master|openstack/swift|1|0|\N|\N|\N|\N|\N|\N
I02967ca8d7c790595e5ee551581196aa64552eea|master|openstack/swift|7|4|\N|\N|\N|\N|\N|\N
I02971103407b4ec11a65218e9ef7e2708915d938|stable/kilo|openstack/neutron|18|45|\N|\N|\N|\N|\N|\N
