size, priority, comp, queue, S_Apple, S_Google, S_RIM, S_Intel, S_Igalia, R_Apple, R_Google, R_RIM, R_Intel, R_Igalia, s_exp, r_exp, obsolete, time, outcome,outcome,"loc,time,trans"
2,1,1,0,1,0,0,0,0,1,0,0,0,0,98,33,FALSE,10.88333333,1,r+,"2,10.8833333333333,r+"
28,1,2,0,0,0,0,0,0,1,0,0,0,0,6,397,TRUE,9.516666667,-1,r-,"28,9.51666666666667,r-"
2,1,1,1,1,0,0,0,0,1,0,0,0,0,94,180,FALSE,26.5,1,r+,"2,26.5,r+"
7,1,1,1,0,1,0,0,0,0,1,0,0,0,225,1180,FALSE,4.3,1,r+,"7,4.3,r+"
5,1,1,0,0,1,0,0,0,0,1,0,0,0,84,555,FALSE,1054.066667,1,r+,"5,1054.06666666667,r+"
3,1,1,1,0,1,0,0,0,0,1,0,0,0,274,11,FALSE,11.71666667,1,r+,"3,11.7166666666667,r+"
19,1,1,2,1,0,0,0,0,1,0,0,0,0,43,512,FALSE,4.433333333,1,r+,"19,4.43333333333333,r+"
14,1,1,0,0,0,0,0,0,0,0,0,1,0,58,388,TRUE,1140.666667,-1,r-,"14,1140.66666666667,r-"
19,1,1,0,0,0,0,0,0,0,0,0,1,0,68,395,TRUE,9.666666667,1,r+,"19,9.66666666666667,r+"
6,1,1,0,1,0,0,0,0,1,0,0,0,0,1,5,FALSE,1418.233333,1,r+,"6,1418.23333333333,r+"
16,1,1,0,1,0,0,0,0,0,1,0,0,0,8,5,FALSE,12.18333333,1,r+,"16,12.1833333333333,r+"
31,1,3,0,1,0,0,0,0,1,0,0,0,0,18,29,TRUE,21.48333333,1,r+,"31,21.4833333333333,r+"
31,1,1,0,0,0,1,0,0,1,0,0,0,0,8,38,FALSE,4.683333333,1,r+,"31,4.68333333333333,r+"
4,1,1,1,1,0,0,0,0,0,1,0,0,0,494,1076,FALSE,78.31666667,1,r+,"4,78.3166666666667,r+"
22,1,1,0,1,0,0,0,0,1,0,0,0,0,10,11,FALSE,3.816666667,1,r+,"22,3.81666666666667,r+"
2,1,1,0,1,0,0,0,0,1,0,0,0,0,6,41,FALSE,3946.866667,1,r+,"2,3946.86666666667,r+"
20,1,1,0,1,0,0,0,0,1,0,0,0,0,1,47,FALSE,6.05,1,r+,"20,6.05,r+"
2,1,1,0,0,0,0,0,0,1,0,0,0,0,3,11,TRUE,1314.016667,1,r+,"2,1314.01666666667,r+"
2,1,1,0,0,0,0,0,0,1,0,0,0,0,6,14,TRUE,0.9,1,r+,"2,0.9,r+"
2,1,1,0,0,0,0,0,0,1,0,0,0,0,7,15,FALSE,2.133333333,1,r+,"2,2.13333333333333,r+"
7,1,1,2,0,1,0,0,0,1,0,0,0,0,108,78,FALSE,521.9833333,1,r+,"7,521.983333333333,r+"
2,1,0,0,0,0,0,1,0,1,0,0,0,0,17,24,FALSE,13.56666667,1,r+,"2,13.5666666666667,r+"
4,1,1,0,1,0,0,0,0,1,0,0,0,0,2,55,FALSE,10.48333333,1,r+,"4,10.4833333333333,r+"
43,1,1,1,1,0,0,0,0,1,0,0,0,0,13,40,FALSE,1156.283333,1,r+,"43,1156.28333333333,r+"
33,1,1,1,1,0,0,0,0,1,0,0,0,0,14,43,FALSE,313,1,r+,"33,313,r+"
22,1,3,0,1,0,0,0,0,1,0,0,0,0,11,45,TRUE,164.6666667,-1,r-,"22,164.666666666667,r-"
9,1,2,0,1,0,0,0,0,1,0,0,0,0,13,47,FALSE,959.6833333,1,r+,"9,959.683333333333,r+"
2,1,1,0,0,1,0,0,0,0,1,0,0,0,3,78,TRUE,3.866666667,1,r+,"2,3.86666666666667,r+"
20,1,1,0,0,1,0,0,0,0,1,0,0,0,5,80,FALSE,3.033333333,1,r+,"20,3.03333333333333,r+"
133,1,1,0,1,0,0,0,0,1,0,0,0,0,59,6,FALSE,3695.8,1,r+,"133,3695.8,r+"
3,1,1,0,0,1,0,0,0,1,0,0,0,0,14,36,TRUE,53.06666667,1,r+,"3,53.0666666666667,r+"
5,1,1,2,1,0,0,0,0,1,0,0,0,0,53,115,FALSE,620.8833333,1,r+,"5,620.883333333333,r+"
18,1,1,0,0,0,0,0,0,1,0,0,0,0,2,163,TRUE,25,-1,r-,"18,25,r-"
24,1,1,1,0,0,0,0,0,1,0,0,0,0,4,62,TRUE,6870.766667,-1,r-,"24,6870.76666666667,r-"
28,1,1,1,0,0,0,0,0,1,0,0,0,0,8,63,TRUE,61.13333333,1,r+,"28,61.1333333333333,r+"
4,1,1,0,0,1,0,0,0,1,0,0,0,0,3,9,FALSE,9.6,1,r+,"4,9.6,r+"
20,1,1,0,1,0,0,0,0,1,0,0,0,0,70,209,FALSE,48.48333333,1,r+,"20,48.4833333333333,r+"
10,1,1,1,1,0,0,0,0,1,0,0,0,0,23,124,FALSE,457.7666667,1,r+,"10,457.766666666667,r+"
1,1,1,2,1,0,0,0,0,1,0,0,0,0,56,18,TRUE,23.46666667,1,r+,"1,23.4666666666667,r+"
1,1,1,0,1,0,0,0,0,1,0,0,0,0,57,51,TRUE,242.0666667,-1,r-,"1,242.066666666667,r-"
2,1,1,0,1,0,0,0,0,1,0,0,0,0,61,136,TRUE,89.9,-1,r-,"2,89.9,r-"
2,1,1,0,1,0,0,0,0,1,0,0,0,0,63,139,FALSE,2.7,1,r+,"2,2.7,r+"
16,1,1,0,0,0,0,1,0,0,0,0,1,0,14,54,FALSE,41.48333333,1,r+,"16,41.4833333333333,r+"
5,1,1,0,0,0,0,1,0,0,0,0,1,0,18,58,TRUE,1122.433333,1,r+,"5,1122.43333333333,r+"
2,1,1,0,0,1,0,0,0,0,1,0,0,0,42,58,FALSE,100.6666667,1,r+,"2,100.666666666667,r+"
25,1,1,0,0,1,0,0,0,1,0,0,0,0,16,9,TRUE,581.8666667,-1,r-,"25,581.866666666667,r-"
17,1,1,0,1,0,0,0,0,1,0,0,0,0,34,184,FALSE,586.9833333,1,r+,"17,586.983333333333,r+"
89,1,1,0,0,1,0,0,0,1,0,0,0,0,40,71,TRUE,5502.75,-1,r-,"89,5502.75,r-"
87,1,1,0,0,1,0,0,0,1,0,0,0,0,41,73,TRUE,8.333333333,-1,r-,"87,8.33333333333333,r-"
6,1,1,0,0,1,0,0,0,1,0,0,0,0,42,74,FALSE,0.95,1,r+,"6,0.95,r+"
20,1,2,0,1,0,0,0,0,1,0,0,0,0,28,143,TRUE,52.2,1,r+,"20,52.2,r+"
47,1,3,0,1,0,0,0,0,1,0,0,0,0,29,64,FALSE,4.5,1,r+,"47,4.5,r+"
