ID|BRANCH|PROJECT|CREATEDON|P_CREATEDON|R_GRANTEDON|P_R_GRANTEDON|TIMEINSECOND|POSITIVITY
I00519cf9482651212ab430f31b90d3b4d901ee32|stable/kilo|openstack/neutron|1436518862|10-JUL-15|1442769661|20-SEP-15|6250799|1
I0051e0b75b17279ffb61de328d7ccc7a12dc99dc|master|openstack/neutron|1452020202|05-JAN-16|1453458622|22-JAN-16|1438420|1
I0054809573f04f03a3e4deeb482d61f280576ad3|master|openstack/nova|1435006616|22-JUN-15|1436224270|06-JUL-15|1217654|1
I005512b4edf6e4c68a803f4180983e4a01e4f036|master|openstack/neutron|1472479355|29-AUG-16|1474007659|16-SEP-16|1528304|1
I0055b5bf402b0aa7b4ee78b0fb40bedea850af94|master|openstack/cinder|1456391022|25-FEB-16|1456962378|02-MAR-16|571356|1
I00574395a3eae0520b94248418915e2923ce8b9f|master|openstack/neutron|1457028191|03-MAR-16|1457228576|06-MAR-16|200385|1
I0058932520e008aa4bde7ce34d6c9f25424684b4|master|openstack/swift|1426227151|13-MAR-15|1426505778|16-MAR-15|278627|1
I005ba893ef556f98619045c6f36dc7284b5df125|master|openstack/neutron|1431106030|08-MAY-15||||
I0065dd194a7c910cc9f9d9b468e5d43bf5c9b7c0|master|openstack/nova|1444816449|14-OCT-15|1444821903|14-OCT-15|5454|1
I006970736ba0e62df383bacc79b5754dea2e9a3e|master|openstack/cinder|1421167415|13-JAN-15|1426280136|13-MAR-15|5112721|1
I006c05d246f59fc6aff597543bedc68589d37576|master|openstack/cinder|1436254708|07-JUL-15|1437442994|21-JUL-15|1188286|1
I0072157d0cf9ab87a5b939868ae4a1d0bbec294b|master|openstack/keystone|1464700390|31-MAY-16|1464701377|31-MAY-16|987|1
I007425301914144e228b9cfece5533443e851b6e|master|openstack/swift|1466202797|17-JUN-16||||
I0077f776284b2efe0e575a692203140012b16747|master|openstack/keystone|1424012582|15-FEB-15||||
I0078f6dc32932beb6db534ecf22b160097c5a090|master|openstack/keystone|1438783763|05-AUG-15|1441220836|02-SEP-15|2437073|1
I007949d7c34697b1cd912841ed4cec5b85429ec2|master|openstack/neutron|1452852808|15-JAN-16||||
I007beadc7c1682cca91f6bc389c1319713cc6f04|feature/hummingbird|openstack/swift|1439233632|10-AUG-15|1439847900|17-AUG-15|614268|1
I007d6580266c4749993fc30f9126ee0c6d2cec06|master|openstack/nova|1465281201|07-JUN-16||||
I007e4d7ad3a4d4ae145838e8533b49aa31c2da8d|master|openstack/nova|1423554510|10-FEB-15||||
I007f249f772dbb53cf24a9bf06d2962001cb8384|master|openstack/nova|1473363894|08-SEP-16|1473442020|09-SEP-16|78126|1
I007f3539e70aa02eb4b56e58bfab012f90914981|master|openstack/neutron|1441216775|02-SEP-15||||
I0080307760d41e6e5cbbfc67de5c407ef32930db|master|openstack/nova|1442644016|19-SEP-15|1442914712|22-SEP-15|270696|1
I00814534bd041920737d9b6723a3573f79b24ba2|master|openstack/swift|1453269153|20-JAN-16||||
I00881db2ecbd559fdac7ad11ac452b0075ccc289|master|openstack/nova|1424361310|19-FEB-15|1425423494|03-MAR-15|1062184|1
I0088636d2f8409f0f6f17b3ed2288f6edfac1e68|master|openstack/neutron|1469784852|29-JUL-16|1470172254|02-AUG-16|387402|1
I008bea270c6a4b7c80d1a84a2cb9fcc9b5a7264a|master|openstack/swift|1449805133|11-DEC-15|1450094563|14-DEC-15|289430|1
I00957c4d39117a50d2ac2753f853841eedbe86a0|master|openstack/cinder|1423225750|06-FEB-15|1424540546|21-FEB-15|1314796|1
I0095b7443bb1514202177510aa13194671e1e984|master|openstack/neutron|1466174789|17-JUN-16||||
I009f7f5e3b014633541ed5a45628aa1b2287e22b|master|openstack/neutron|1427224871|24-MAR-15|1427302343|25-MAR-15|77472|1
I009f96a30c91fa0aea20e467607cff653b86c706|master|openstack/keystone|1454103025|29-JAN-16||||
I00a1a1c46e6907c0934219b11741e6fb64c8ce64|master|openstack/nova|1431559350|13-MAY-15||||
I00a4cef2e4194b07f12ed0c0f6c584f236771a00|master|openstack/keystone|1438369986|31-JUL-15|1439908778|18-AUG-15|1538792|1
I00a676ef266f47590f8c46d4a1a4eb876ab1f27d|master|openstack/nova|1451030302|25-DEC-15|1469149550|22-JUL-16|18119248|1
I00a7ca0f6df70dd7bcb1ada65113daccb0de8c25|master|openstack/cinder|1468416405|13-JUL-16||||
I00a8739e482e67be6593ada732b387f11611efe9|master|openstack/cinder|1469106096|21-JUL-16|1475081709|28-SEP-16|5975613|1
I00ab522a8a0c0eb3949b1575d9c58f2ece4885b0|master|openstack/nova|1469568648|26-JUL-16|1469568658|26-JUL-16|10|-1
I00ac065758f0819f98fc52e0cd1e66aaf814aa57|master|openstack/neutron|1475175161|29-SEP-16||||
I00ac45429a09462df6c4407a925395097a1c46d0|master|openstack/swift|1467959727|08-JUL-16||||
I00aedf952d691a809c23025b89131ea0f02b6431|master|openstack/swift|1432760791|27-MAY-15|1432894930|29-MAY-15|134139|1
I00af3a17f255de527edfbe5f0c27520b6b114f66|master|openstack/nova|1421290110|15-JAN-15||||
I00afedc08c9ed7ab03ead9ef4bee94a80f50bb75|master|openstack/neutron|1471295237|15-AUG-16|1472135466|25-AUG-16|840229|1
I00b00821839b0d77caaaf26b518c5c0c75e01218|master|openstack/neutron|1442371970|16-SEP-15|1445537987|22-OCT-15|3166017|1
I00b00821839b0d77caaaf26b518c5c0c75e01218|stable/liberty|openstack/neutron|1448011423|20-NOV-15|1448031414|20-NOV-15|19991|1
I00b67b95a737ee921c83584c4974663f798c60cb|stable/liberty|openstack/nova|1462889497|10-MAY-16|1463154354|13-MAY-16|264857|1
I00b9d618a86720cd71ee18b0fba8f5b4f913e82c|master|openstack/nova|1464853476|02-JUN-16|1467016891|27-JUN-16|2163415|1
I00bad055847adbbe26fe2f9225a4adde18f546b8|master|openstack/nova|1469035718|20-JUL-16|1469532420|26-JUL-16|496702|1
I00bbff8066e3842e5a1db4f63ceb7dd9aec083a3|master|openstack/keystone|1436977215|15-JUL-15|1440585684|26-AUG-15|3608469|1
I00bbff8066e3842e5a1db4f63ceb7dd9aec083a3|stable/kilo|openstack/keystone|1442357786|15-SEP-15||||
I00bea6e97e95b8aa7d3881f7c21ac6dcccc78a27|master|openstack/nova|1442492128|17-SEP-15|1442505702|17-SEP-15|13574|1
I00c1c1e93eb7c66c3370434db4e3e6c00087f8aa|master|openstack/nova|1455052513|09-FEB-16|1455053092|09-FEB-16|579|1
I00c1c1e93eb7c66c3370434db4e3e6c00087f8aa|stable/kilo|openstack/nova|1455055685|09-FEB-16|1455069000|10-FEB-16|13315|1
I00c1c1e93eb7c66c3370434db4e3e6c00087f8aa|stable/liberty|openstack/nova|1455054671|09-FEB-16|1455068950|10-FEB-16|14279|1
I00c766541fe22f77d97efbc34af31edf9b209b96|master|openstack/swift|1440799222|28-AUG-15||||
I00c8c323135e3510896a9b66877fe887285d9281|master|openstack/neutron|1475177099|29-SEP-16||||
I00cbc6c535ed8b3fb29bc07fdc51fdbb1220ff10|master|openstack/swift|1446569381|03-NOV-15|1447969244|19-NOV-15|1399863|1
I00cc57a77a23ed30d86fce8e309f6b27c4ae26a1|master|openstack/keystone|1447969693|19-NOV-15|1449674421|09-DEC-15|1704728|1
I00cf824baa8580b7aa7ec4518a4741e49c998364|master|openstack/neutron|1464706773|31-MAY-16|1464772141|01-JUN-16|65368|1
